PROVNUM	NETWORK	FACNAME	PHYADDR1	PHYADDR2	PHYCITY	PHYSTATE	PHYZIP	PHONENUM	SHIFT	CHAINYN	CHAINNAM	OWNTYPE	CERTDATE	TOTSTAS	HD	PD	HOMEHD	PURR_F	URRG65_F	URRG65_C	URRG65_U	URRG65_S	HGBRD_F	HGBL10_F	HGBL10_C	HGBG12_F	HGBG12_C	HGBL10_U	HGBL10_S	HGBG12_U	HGBG12_S	PTSURV_F	PTSURV_C	PTSURVU1	PTSURVU2	PTSURVU3	PTSURVS1	PTSURVS2	PTSURVS3	CNTYNAME	DATE_CLAIMS	HDKTVPM_F	HDKTV12_C	HDKTVPM12_F	HDKTVPM12_S	HDKTVPM12_U	PDKTVPM_F	PDKTV17_C	PDKTVPM17_F	PDKTVPM17_S	PDKTVPM17_U	PHDKTVPM_F	PHDKTV12_C	PHDKTVPM12_F	PHDKTVPM12_S	PHDKTVPM12_U	VAHDPM_F	VAVF_C	VAVF_F	VAVF_S	VAVF_U	VCG90_C	VCG90_F	VCG90_S	VCG90_U	DATE_SMR	DYZ_F	SMRZ_F	CHIMZ_F	CLOMZ_F	DATE_SHR	HDY_F	PTHOSP_C	SHRTY4_F	CHICHTAY4_F	CLOCHTAY4_F	PTHOSP_F	PTHOSPS1	PTHOSPS2	PTHOSPS3	PTHOSPU1	PTHOSPU2	PTHOSPU3	DATE_CW	HYPERCALPM_F	HYPERCAL_F	HYPERCAL_S	HYPERCAL_U	SERUMPHOSPM_F	SERUMPHOS1_F	SERUMPHOS2_F	SERUMPHOS3_F	SERUMPHOS4_F	SERUMPHOS5_F	SERUMPHOS1_S	SERUMPHOS2_S	SERUMPHOS3_S	SERUMPHOS4_S	SERUMPHOS5_S	SERUMPHOS1_U	SERUMPHOS2_U	SERUMPHOS3_U	SERUMPHOS4_U	SERUMPHOS5_U	HYPERCAL_C	SERUMPHOS_C	RDSMZ_F	RDSHY4_F	VAHDPAT_F	DFCHTAY4_F	PHDKTVPATS_F	PDPATS_F	HDKTVPATS_F	HYPERCALPATS_F	SERUMPHOSPATS_F	DFCMORTTEXT	DFCHOSPTEXT
012500	08	FMC CAPITOL CITY	255 S JACKSON STREET		MONTGOMERY	AL	36104	3342631028	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01SEP1976	34	Y	Y	Y	71	99	001	98	99	86	7	001	0	001	8	8	1	1	2	001	440	4397	550	1	102	17	MONTGOMERY	01Jul2011-30Jun2012	816	001	86	89	89	192	001	85	84	78	0	254		88	79	862	001	46	53	58	001	10	7	13	01Jan2008-31Dec2011		0.98000000	1.23000000	0.77000000	01Jan2011-31Dec2011		001	0.79000000	1.39000000	0.47000000		2	123	0	44	5139	250																								614	114	104	2	0	21	96			As Expected	As Expected
012501	08	GADSDEN DIALYSIS	409 SOUTH FIRST STREET		GADSDEN	AL	35901	2565472457	N	Y	GAMBRO HEALTHCARE	1	01SEP1976	24	Y	N	N	80	100	001	98	99	82	10	001	0	001	8	8	1	1	2	001	440	4397	550	1	102	17	ETOWAH	01Jul2011-30Jun2012	846	001	95	89	89	0	201		84	78	0	254		88	79	957	001	61	53	58	001	11	7	13	01Jan2008-31Dec2011		1.04000000	1.26000000	0.85000000	01Jan2011-31Dec2011		001	1.36000000	2.06000000	0.92000000		2	123	0	44	5139	250																								573	125	117	2	0	0	103			As Expected	As Expected
012502	08	TUSCALOOSA UNIVERSITY DIALYSIS	220 15TH STREET		TUSCALOOSA	AL	35401	2053456004	N	Y	GAMBRO HEALTHCARE	1	21OCT1977	24	Y	Y	N	82	100	001	98	99	83	12	001	0	001	8	8	1	1	3	001	440	4397	550	1	102	17	TUSCALOOSA	01Jul2011-30Jun2012	970	001	94	89	89	51	199		84	78	0	254		88	79	1035	001	44	53	58	001	4	7	13	01Jan2008-31Dec2011		1.66000000	2.03000000	1.34000000	01Jan2011-31Dec2011		001	1.53000000	2.41000000	1.00000000		2	123	0	44	5139	250																								573	111	130	2	0	7	121			Worse than Expected	As Expected
012505	08	PCD MONTGOMERY	1001 FOREST AVENUE		MONTGOMERY	AL	36106	3342699416	N	Y	DAVITA	1	14DEC1977	31	Y	Y	Y	82	99	001	98	99	91	10	001	0	001	8	8	1	1	3	001	440	4397	550	1	102	17	MONTGOMERY	01Jul2011-30Jun2012	922	001	93	89	89	175	001	98	84	78	0	254		88	79	994	001	51	53	58	001	6	7	13	01Jan2008-31Dec2011		1.41000000	1.69000000	1.15000000	01Jan2011-31Dec2011		001	0.97000000	1.57000000	0.62000000		2	123	0	44	5139	250																								644	144	123	2	0	20	118			Worse than Expected	As Expected
012506	08	DOTHAN DIALYSIS	216 GRACELAND DR.		DOTHAN	AL	36305	3347934077	N	Y	GAMBRO HEALTHCARE	1	28NOV1977	27	Y	Y	Y	61	97	001	98	99	77	21	001	1	001	8	8	1	1	2	001	440	4397	550	1	102	17	HOUSTON	01Jul2011-30Jun2012	699	001	86	89	89	288	001	89	84	78	0	254		88	79	785	001	56	53	58	001	3	7	13	01Jan2008-31Dec2011		0.98000000	1.21000000	0.79000000	01Jan2011-31Dec2011		001	0.71000000	1.27000000	0.42000000		2	123	0	44	5139	250																								684	119	105	2	0	31	102			As Expected	As Expected
012507	08	FMC MOBILE	2620 OLD SHELL RD		MOBILE	AL	36607	2514762762	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	04JAN1979	24	Y	N	N	64	100	001	98	99	56	4	001	0	001	8	8	1	1	2	001	440	4397	550	1	102	17	MOBILE	01Jul2011-30Jun2012	723	001	95	89	89	0	201		84	78	0	254		88	79	762	001	44	53	58	001	5	7	13	01Jan2008-31Dec2011		1.08000000	1.39000000	0.83000000	01Jan2011-31Dec2011		001	1.00000000	1.63000000	0.63000000		2	123	0	44	5139	250																								587	92	108	2	0	0	100			As Expected	As Expected
012508	08	BIRMINGHAM EAST DIALYSIS	1105 EAST PARK DRIVE		BIRMINGHAM	AL	35235	2058336003	N	Y	GAMBRO HEALTHCARE	1	28JUN1979	20	Y	N	N	64	100	001	98	99	63	38	001	0	001	8	8	1	1	3	001	440	4397	550	1	102	17	JEFFERSON	01Jul2011-30Jun2012	673	001	92	89	89	0	201		84	78	0	254		88	79	727	001	41	53	58	001	12	7	13	01Jan2008-31Dec2011		1.31000000	1.67000000	1.02000000	01Jan2011-31Dec2011		001	1.19000000	1.87000000	0.77000000		2	123	0	44	5139	250																								518	96	90	2	0	0	88			Worse than Expected	As Expected
012509	08	FMC NORTH ALABAMA	1311 N MEMORIAL PKWY #200		HUNTSVILLE	AL	35801	2565368571	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	16JUL1979	22	Y	Y	N	64	94	001	98	99	77	5	001	0	001	8	8	1	1	2	001	440	4397	550	1	102	17	MADISON	01Jul2011-30Jun2012	708	001	81	89	89	182	001	83	84	78	0	254		88	79	803	001	70	53	58	001	4	7	13	01Jan2008-31Dec2011		0.93000000	1.18000000	0.72000000	01Jan2011-31Dec2011		001	0.95000000	1.63000000	0.58000000		2	123	0	44	5139	250																								561	114	118	2	0	26	108			As Expected	As Expected
012512	08	FMC SELMA	905 MEDICAL CENTER PARKWAY		SELMA	AL	36701	3348749021	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	25AUG1980	26	Y	N	N	44	100	001	98	99	45	4	001	2	001	8	8	1	1	2	001	440	4397	550	1	102	17	DALLAS	01Jul2011-30Jun2012	552	001	95	89	89	0	201		84	78	0	254		88	79	586	001	46	53	58	001	13	7	13	01Jan2008-31Dec2011		1.21000000	1.59000000	0.91000000	01Jan2011-31Dec2011		001	1.11000000	1.88000000	0.67000000		2	123	0	44	5139	250																								287	62	70	2	0	0	67			As Expected	As Expected
012513	08	FMC LANGDALE	8 MEDICAL PARK		VALLEY	AL	36854	3347564192	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	12FEB1981	12	Y	N	N	54	100	001	98	99	51	0	001	6	001	8	8	1	1	2	001	440	4397	550	1	102	17	CHAMBERS	01Jul2011-30Jun2012	608	001	88	89	89	0	201		84	78	0	254		88	79	643	001	88	53	58	001	3	7	13	01Jan2008-31Dec2011		0.77000000	1.09000000	0.52000000	01Jan2011-31Dec2011		001	0.78000000	1.49000000	0.42000000		2	123	0	44	5139	250																								271	62	77	2	0	0	74			As Expected	As Expected
012515	08	FMC OPELIKA	2609 VILLAGE PROFESSIONAL DR	STE 2	OPELIKA	AL	36801	3347495085	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	07SEP1982	25	Y	Y	N	61	100	001	98	99	74	1	001	0	001	8	8	1	1	2	001	440	4397	550	1	102	17	LEE	01Jul2011-30Jun2012	740	001	93	89	89	157	001	92	84	78	0	254		88	79	792	001	75	53	58	001	4	7	13	01Jan2008-31Dec2011		0.98000000	1.26000000	0.74000000	01Jan2011-31Dec2011		001	0.70000000	1.32000000	0.39000000		2	123	0	44	5139	250																								531	112	101	2	0	19	96			As Expected	As Expected
012516	08	DSI SOUTH DIALYSIS	3201 3RD AVE SOUTH		BIRMINGHAM	AL	35222	2055025300	N	Y	NATIONAL RENAL INSTITUTES	1	02DEC1982	20	Y	Y	Y	28	100	001	98	99	29	3	001	0	001	8	8	1	1	2	001	440	4397	550	1	102	17	JEFFERSON	01Jul2011-30Jun2012	258	001	96	89	89	9	199		84	78	0	254		88	79	264	001	20	53	58	001	10	7	13	01Jan2008-31Dec2011		1.21000000	1.68000000	0.84000000	01Jan2011-31Dec2011		001	1.30000000	2.18000000	0.78000000		2	123	0	44	5139	250																								273	52	33	2	0	1	33			As Expected	As Expected
012517	08	ATHENS DIALYSIS	15953 ATHENS LIMESTONE DRIVE		ATHENS	AL	35613	2562334730	N	Y	GAMBRO HEALTHCARE	1	21JAN1983	12	Y	N	Y	60	97	001	98	99	58	5	001	0	001	8	8	1	1	2	001	440	4397	550	1	102	17	LIMESTONE	01Jul2011-30Jun2012	678	001	89	89	89	0	257		84	78	0	254		88	79	784	001	68	53	58	001	4	7	13	01Jan2008-31Dec2011		1.04000000	1.32000000	0.80000000	01Jan2011-31Dec2011		001	0.66000000	1.20000000	0.37000000		2	123	0	44	5139	250																								401	88	117	2	0	0	104			As Expected	As Expected
012519	08	FMC SCOTTSBORO	20998 JOHN T. REID HWY		SCOTTSBORO	AL	35768	2562594777	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	05NOV1984	16	Y	N	N	45	100	001	98	99	40	3	001	13	001	8	8	1	1	2	001	440	4397	550	1	102	17	JACKSON	01Jul2011-30Jun2012	486	001	93	89	89	0	201		84	78	0	254		88	79	531	001	77	53	58	001	2	7	13	01Jan2008-31Dec2011		1.04000000	1.44000000	0.72000000	01Jan2011-31Dec2011		001	0.67000000	1.32000000	0.35000000		2	123	0	44	5139	250																								215	53	60	2	0	0	57			As Expected	As Expected
012520	08	FMC TROY	606 BOTTS AVE		TROY	AL	36081	3345667266	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	19NOV1984	15	Y	N	N	62	97	001	98	99	58	2	001	2	001	8	8	1	1	2	001	440	4397	550	1	102	17	PIKE	01Jul2011-30Jun2012	692	001	93	89	89	0	201		84	78	0	254		88	79	726	001	41	53	58	001	16	7	13	01Jan2008-31Dec2011		0.92000000	1.21000000	0.69000000	01Jan2011-31Dec2011		001	0.69000000	1.25000000	0.40000000		2	123	0	44	5139	250																								354	75	73	2	0	0	70			As Expected	As Expected
012521	08	DCI DOTHAN	1630 COLUMBIA HWY		DOTHAN	AL	36303	3347933519	N	Y	"DIALYSIS CLINIC, INC. (DCI)"	2	11MAR1985	33	Y	Y	N	74	99	001	98	99	84	8	001	1	001	8	8	1	1	2	001	440	4397	550	1	102	17	HOUSTON	01Jul2011-30Jun2012	874	001	96	89	89	156	001	78	84	78	0	254		88	79	916	001	48	53	58	001	9	7	13	01Jan2008-31Dec2011		0.94000000	1.21000000	0.71000000	01Jan2011-31Dec2011		001	0.64000000	1.24000000	0.35000000		2	123	0	44	5139	250																								560	115	95	2	0	19	94			As Expected	As Expected
012522	08	FMC HUNTSVILLE	2325 PANSY STREET	SUITE C	HUNTSVILLE	AL	35801	2565361881	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	20AUG1985	32	Y	N	N	65	97	001	98	99	58	2	001	3	001	8	8	1	1	2	001	440	4397	550	1	102	17	MADISON	01Jul2011-30Jun2012	709	001	87	89	89	0	201		84	78	0	254		88	79	793	001	58	53	58	001	8	7	13	01Jan2008-31Dec2011		1.02000000	1.34000000	0.76000000	01Jan2011-31Dec2011		001	0.99000000	1.63000000	0.61000000		2	123	0	44	5139	250																								423	90	134	2	0	0	121			As Expected	As Expected
012523	08	PHENIX CITY DIALYSIS	1900 OPELIKA ROAD		PHENIX CITY	AL	36867	3342981941	N	Y	DAVITA	1	23SEP1985	20	Y	Y	N	53	100	001	98	99	64	14	001	0	001	8	8	1	1	3	001	440	4397	550	1	102	17	RUSSELL	01Jul2011-30Jun2012	631	001	93	89	89	216	001	88	84	78	0	254		88	79	670	001	47	53	58	001	5	7	13	01Jan2008-31Dec2011		1.35000000	1.73000000	1.03000000	01Jan2011-31Dec2011		001	0.63000000	1.20000000	0.35000000		2	123	0	44	5139	250																								388	95	92	2	0	29	86			Worse than Expected	As Expected
012524	08	FMC EAST MOBILE	1217 GOVERNMENT ST		MOBILE	AL	36604	2514386917	Y	Y	FRESENIUS MEDICAL CARE (FMC)	1	01DEC1985	29	Y	Y	Y	82	98	001	98	99	109	7	001	2	001	8	8	1	1	2	001	440	4397	550	1	102	17	MOBILE	01Jul2011-30Jun2012	902	001	83	89	89	516	001	90	84	78	0	254		88	79	981	001	55	53	58	001	6	7	13	01Jan2008-31Dec2011		1.02000000	1.28000000	0.81000000	01Jan2011-31Dec2011		001	1.09000000	1.73000000	0.71000000		2	123	0	44	5139	250																								843	184	153	2	0	68	141			As Expected	As Expected
012525	08	FMC WEST MOBILE	6601 WALL STREET	SUITE A	MOBILE	AL	36695	2516332681	N	Y	FRESENIUS MEDICAL CARE	1	02DEC1985	20	Y	N	N	63	100	001	98	99	61	2	001	0	001	8	8	1	1	2	001	440	4397	550	1	102	17	MOBILE	01Jul2011-30Jun2012	690	001	86	89	89	0	201		84	78	0	254		88	79	725	001	69	53	58	001	4	7	13	01Jan2008-31Dec2011		0.78000000	1.01000000	0.59000000	01Jan2011-31Dec2011		001	0.87000000	1.49000000	0.53000000		2	123	0	44	5139	250																								408	87	88	2	0	0	83			As Expected	As Expected
012526	08	RCG PRINCETON	708 COTTON AVE SW		BIRMINGHAM	AL	35211	2057853500	N	Y	RENAL CARE GROUP INC.	1	18SEP1985	34	Y	Y	Y	78	91	001	98	99	103	9	001	2	001	8	8	1	1	2	001	440	4397	550	1	102	17	JEFFERSON	01Jul2011-30Jun2012	958	001	82	89	89	442	001	69	84	78	0	254		88	79	1002	001	47	53	58	001	5	7	13	01Jan2008-31Dec2011		1.11000000	1.33000000	0.92000000	01Jan2011-31Dec2011		001	1.18000000	1.74000000	0.82000000		2	123	0	44	5139	250																								970	204	122	2	0	60	118			As Expected	As Expected
012527	08	DCI ENTERPRISE	3861 SALEM ROAD		ENTERPRISE	AL	36330	3343478233	N	Y	"DIALYSIS CLINIC, INC. (DCI)"	2	04JUL1986	26	Y	Y	Y	70	100	001	98	99	68	3	001	0	001	8	8	1	1	2	001	440	4397	550	1	102	17	COFFEE	01Jul2011-30Jun2012	791	001	97	89	89	0	201		84	78	0	254		88	79	849	001	56	53	58	001	11	7	13	01Jan2008-31Dec2011		0.81000000	1.06000000	0.60000000	01Jan2011-31Dec2011		001	0.45000000	1.06000000	0.20000000		2	123	0	44	5139	250																								447	92	91	2	0	0	83			As Expected	As Expected
012528	08	FMC CAHABA VALLEY	120 CAHABA VALLEY PARKWAY	SUITE 150	PELHAM	AL	35124	2059880469	N	Y	RENAL CARE GROUP INC.	1	17SEP1986	24	Y	N	N	44	100	001	98	99	43	5	001	2	001	8	8	1	1	2	001	440	4397	550	1	102	17	SHELBY	01Jul2011-30Jun2012	518	001	53	89	89	0	201		84	78	0	254		88	79	547	001	56	53	58	001	6	7	13	01Jan2008-31Dec2011		1.09000000	1.39000000	0.84000000	01Jan2011-31Dec2011		001	1.16000000	1.96000000	0.70000000		2	123	0	44	5139	250																								409	69	68	2	0	0	67			As Expected	As Expected
012529	08	FLORENCE DIALYSIS	422 EAST DR. HICKS BLVD		FLORENCE	AL	35630	2567645050	N	Y	GAMBRO HEALTHCARE	1	16SEP1986	18	Y	Y	N	65	100	001	98	99	93	11	001	0	001	8	8	1	1	2	001	440	4397	550	1	102	17	LAUDERDALE	01Jul2011-30Jun2012	745	001	95	89	89	365	001	90	84	78	0	254		88	79	822	001	37	53	58	001	5	7	13	01Jan2008-31Dec2011		1.04000000	1.31000000	0.82000000	01Jan2011-31Dec2011		001	0.65000000	1.22000000	0.37000000		2	123	0	44	5139	250																								472	125	92	2	0	44	85			As Expected	As Expected
012530	08	RAI EAST 11TH ST ANNISTON	522 EAST 11TH STREET	1ST FLOOR	ANNISTON	AL	36207	2562377566	N	N	INDEPENDENT	1	07JAN1987	21	Y	N	N	64	98	001	98	99	57	19	001	0	001	8	8	1	1	2	001	440	4397	550	1	102	17	CALHOUN	01Jul2011-30Jun2012	721	001	93	89	89	0	201		84	78	0	254		88	79	769	001	57	53	58	001	4	7	13	01Jan2008-31Dec2011		1.02000000	1.32000000	0.77000000	01Jan2011-31Dec2011		001	1.05000000	1.76000000	0.64000000		2	123	0	44	5139	250																								402	78	95	2	0	0	89			As Expected	As Expected
012531	08	FMC JACKSON (TOMBIGBEE)	215 WALKER SPRINGS RD		JACKSON	AL	36545	2512466667	N	Y	FRESENIUS MEDICAL CARE	1	29JAN1987	24	Y	Y	Y	57	100	001	98	99	53	2	001	2	001	8	8	1	1	2	001	440	4397	550	1	102	17	CLARKE	01Jul2011-30Jun2012	659	001	93	89	89	4	199		84	78	0	254		88	79	688	001	52	53	58	001	5	7	13	01Jan2008-31Dec2011		1.01000000	1.35000000	0.74000000	01Jan2011-31Dec2011		001	0.63000000	1.23000000	0.34000000		2	123	0	44	5139	250																								329	68	88	2	0	3	83			As Expected	As Expected
012532	08	DCI EUFAULA	123 A EAST BARBOUR STREET		EUFAULA	AL	36027	3346877071	N	Y	"DIALYSIS CLINIC, INC."	2	25NOV1987	19	Y	N	N	39	100	001	98	99	40	3	001	0	001	8	8	1	1	2	001	440	4397	550	1	102	17	BARBOUR	01Jul2011-30Jun2012	438	001	97	89	89	0	201		84	78	0	254		88	79	461	001	55	53	58	001	6	7	13	01Jan2008-31Dec2011		0.84000000	1.19000000	0.57000000	01Jan2011-31Dec2011		001	0.76000000	1.48000000	0.39000000		2	123	0	44	5139	250																								257	47	53	2	0	0	52			As Expected	As Expected
012533	08	WALKER COUNTY DIALYSIS	589 HIGHWAY 78 WEST		JASPER	AL	35501	2052211064	N	Y	NATIONAL RENAL INSTITUTES	1	29DEC1987	12	Y	Y	Y	18	100	001	98	99	18	0	001	0	001	8	8	1	1	2	001	440	4397	550	1	102	17	WALKER	01Jul2011-30Jun2012	101	001	98	89	89	0	201		84	78	0	254		88	79	107	001	58	53	58	001	9	7	13	01Jan2008-31Dec2011		1.22000000	1.74000000	0.82000000	01Jan2011-31Dec2011		001	0.77000000	1.64000000	0.37000000		2	123	0	44	5139	250																								168	30	25	2	0	0	24			As Expected	As Expected
