"Provider Number","Network","Facility Name","Address Line 1","Address Line 2","City","STATE","Zip","County","Phone Number","Profit or Non-Profit?","Chain Owned?","Chain Organization","Late Shift?","# of Dialysis Stations","Offers In-Center Hemodialysis","Offers In-Cener Peritoneal Dialysis","Offers Home Hemodialysis Training","Certification Date","Claims Date","Mineral and Bone Disorder Date","STrR Date","Percentage of Medicare patients with Hgb<10 g/dL","Hgb <10 Data Availability Code","Percentage of Medicare patients with Hgb>12 g/dL","Hgb >12 Data Availability Code","Number of dialysis patients with Hgb data","Lists the facility’s Standardized Transfusion Ratio (FACILITY)","Lists the upper confident limit (97.5%) for Standardized Transfusion Ratio (STRr)","Lists the lower confident limit (2.5%) for Standardized Transfusion Ratio (STRr)","Patient Transfusion data availability Code","Patient transfusion category text","Lists the number of patients included in the facility’s transfusion summary (FACILITY)","Percentage of HD patients with URR>=65%","URR Data Availability Code","Percent of Adult HD patients with Kt/V >= 1.2","Adult HD Kt/V Data Availability Code","Percentage of Adult PD PTS with Kt/V >= 1.7","Adult PD Kt/V Data Availability Code","Percentage of Pediatric HD patients with Kt/V >= 1.2","Pediatric HD Kt/V Data Availability Code","Lists the number of heomodialysis patients included in the URR greater than or equal 65 percent summary (FACILITY)","Number of Adult HD patients with Kt/V data","Number of Adult HD patient-months with Kt/V data","Number of Adult PD patients with Kt/V data","Number of Adult PD patient-months with Kt/V data","Number of Pediatric HD patients with Kt/V data","Number of Pediatric HD patient-months with Kt/V data","Percentage of patients with arteriovenous fistulae in place","Arteriovenous fistulae in place Data Availability Code","Percentage of patients with vascular catheter in use for 90 days or longer","Vascular catheter Data Availability Code","Number of Adult patients included in arterial venous fistula and catheter summaries","Number of Adult patient-months included in arterial venous fistula and catheter summaries","Hypercalcemia Data Availability Code","Lists the number of patients included in the facility’s hypercalcemia summary (FACILITY)","Lists the number of patient-months included in the facility’s hypercalcemia summary (FACILITY)","Lists the percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL) (FACILITY)","Lists the number of patients included in the facility’s serum phosphorus summary (FACILITY)","Lists the number of patient-months included in the facility’s serum phosphorus summary (FACILITY)","Serum phosphorus Data Availability Code","Lists the percentage of Adult patients with serum phosphorus less than 3.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL (FACILITY)","SMR Date","SHR Date","SHR: Upper Confidence Limit (95%)","SMR: Upper Confidence Limit (95%)","SHR: Lower Confidence Limit (5%)","SMR: Lower Confidence Limit (5%)","Patient hospitalization category text","Patient hospitalization Data Availability Code","Patient survival category text","Patient survival Data Availability Code","Number of patients included in hospitalization summary","Number of patients included in survival summary","Standardized Hospitalization Ratio","Standardized Mortality Ratio"
"012500","08","FMC CAPITOL CITY","255 S JACKSON STREET","","MONTGOMERY","AL","36104","MONTGOMERY","(334) 263-1028","Profit","Yes","FRESENIUS MEDICAL CARE","0","34","1","1","1","1976-09-01 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","12","001","0","001","75","0.92","1.93","0.48","001","As Expected","95","100","001","91","001","87","001","","254","66","92","768","17","78","0","0","50","001","11","001","94","811","001","124","1097","0","127","1118","001","11","29","25","22","12","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.27","1.18","0.4","0.73","As Expected","001","As Expected","001","104","617","0.69","0.94"
"012501","08","GADSDEN DIALYSIS","409 SOUTH FIRST STREET","","GADSDEN","AL","35901","ETOWAH","(256) 547-2457","Profit","Yes","GAMBRO HEALTHCARE","0","24","1","0","0","1976-09-01 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","4","001","0","001","52","1","2.19","0.5","001","As Expected","69","100","001","93","001","","257","","254","56","73","580","0","0","0","0","71","001","6","001","74","606","001","77","739","1","79","744","001","8","26","51","7","8","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.79","1.5","0.69","1.01","As Expected","001","Worse than Expected","001","73","502","1.1","1.24"
"012502","08","TUSCALOOSA UNIVERSITY DIALYSIS","220 15TH STREET","","TUSCALOOSA","AL","35401","TUSCALOOSA","(205) 345-6004","Profit","Yes","GAMBRO HEALTHCARE","0","24","1","1","0","1977-10-21 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","12","001","0","001","75","0.48","1.47","0.18","001","As Expected","91","96","001","92","001","","199","","199","78","116","929","7","52","1","12","47","001","6","001","127","993","001","110","1031","0","119","1080","001","10","26","44","11","9","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.91","1.95","0.75","1.22","As Expected","001","Worse than Expected","001","107","514","1.16","1.56"
"012505","08","PCD MONTGOMERY","1001 FOREST AVENUE","","MONTGOMERY","AL","36106","MONTGOMERY","(334) 269-9416","Profit","Yes","DAVITA","0","18","1","1","1","1977-12-14 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","11","001","0","001","85","1.08","1.95","0.65","001","As Expected","128","100","001","95","001","95","001","","254","75","98","761","32","267","0","0","56","001","5","001","103","800","001","155","1258","0","157","1276","001","14","35","39","6","6","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.43","1.41","0.57","0.92","As Expected","001","As Expected","001","136","667","0.88","1.15"
"012506","08","DOTHAN DIALYSIS","216 GRACELAND DR.","","DOTHAN","AL","36305","HOUSTON","(334) 793-4077","Profit","Yes","GAMBRO HEALTHCARE","0","27","1","1","1","1977-11-28 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","8","001","1","001","80","1.26","2.25","0.76","001","As Expected","107","96","001","88","001","92","001","","254","54","93","630","36","331","0","0","58","001","4","001","102","707","001","120","1072","0","122","1048","001","9","29","41","12","9","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.26","1.22","0.42","0.78","As Expected","001","As Expected","001","117","557","0.7","0.98"
"012507","08","FMC MOBILE","2620 OLD SHELL RD","","MOBILE","AL","36607","MOBILE","(251) 476-2762","Profit","Yes","FRESENIUS MEDICAL CARE","0","24","1","0","0","1979-01-04 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","8","001","0","001","66","0.84","1.84","0.42","001","As Expected","99","99","001","80","001","","257","","254","69","139","814","0","0","0","0","47","001","8","001","142","852","001","125","1076","2","134","1100","001","17","26","23","22","12","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.74","1.28","0.64","0.75","As Expected","001","As Expected","001","111","519","1.03","0.99"
"012508","08","BIRMINGHAM EAST DIALYSIS","1105 EAST PARK DRIVE","","BIRMINGHAM","AL","35235","JEFFERSON","(205) 833-6003","Profit","Yes","GAMBRO HEALTHCARE","0","20","1","0","0","1979-06-28 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","22","001","0","001","50","2.05","3.72","1.21","001","Worse than Expected","72","98","001","93","001","","257","","254","50","70","564","0","0","0","0","41","001","10","001","78","613","001","92","835","1","100","867","001","10","28","42","10","9","01/01/2010-12/31/2013","01/01/2013-12/31/2013","2.28","1.65","1","0.98","Worse than Expected","001","As Expected","001","79","481","1.5","1.28"
"012509","08","FMC NORTH ALABAMA","1311 N MEMORIAL PKWY #200","","HUNTSVILLE","AL","35801","MADISON","(256) 536-8571","Profit","Yes","FRESENIUS MEDICAL CARE","0","22","1","1","0","1979-07-16 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","4","001","1","001","70","1.1","2.07","0.63","001","As Expected","119","90","001","76","001","88","001","","254","51","99","622","34","255","0","0","62","001","7","001","112","782","001","137","1070","6","139","1069","001","9","26","29","25","10","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.39","1.39","0.5","0.89","As Expected","001","As Expected","001","135","606","0.81","1.12"
"012512","08","FMC SELMA","905 MEDICAL CENTER PARKWAY","","SELMA","AL","36701","DALLAS","(334) 874-9021","Profit","Yes","FRESENIUS MEDICAL CARE","0","26","1","0","0","1980-08-25 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","6","001","0","001","49","0.77","2","0.34","001","As Expected","64","98","001","89","001","","199","","254","50","76","533","5","25","0","0","44","001","11","001","80","556","001","74","620","8","82","663","001","18","29","22","20","12","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.44","1.23","0.46","0.63","As Expected","001","As Expected","001","69","300","0.8","0.89"
"012513","08","FMC LANGDALE","8 MEDICAL PARK","","VALLEY","AL","36854","CHAMBERS","(334) 756-4192","Profit","Yes","FRESENIUS MEDICAL CARE","0","19","1","0","0","1981-02-12 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","7","001","0","001","44","0.88","2.15","0.4","001","As Expected","60","100","001","88","001","","257","","254","53","67","596","0","0","0","0","90","001","4","001","70","626","001","65","595","17","70","621","001","6","23","29","30","12","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1","1.41","0.2","0.74","Better than Expected","001","As Expected","001","63","281","0.44","1.03"
