"State","Survival- Better Than Expected (STATE)","Survival- As Expected (STATE)","Survival- Worse Than Expected (STATE)","Hospitalizations- Better Than Expected (STATE)","Hospitalizations- As Expected (STATE)","Hospitalizations- Worse Than Expected (STATE)","Hospital Readmission - Better Than Expected (STATE)","Hospital Readmission - As Expected (STATE)","Hospital  Readmission - Worse Than Expected (STATE)","Transfusions- Better than expected (STATE)","Transfusions- As expected (STATE)","Transfusions- Worse than expected (STATE)","Infection- Better than expected (STATE)","Infection- As expected (STATE)","Infection- Worse than expected (STATE)","Percentage of adult HD patients with Kt/V>=1.2","Percentage Of Adult PD Patients With Kt/V>=1.7","Percentage Of Pediatric HD Patients With Kt/V>=1.2","Percentage Of Pediatric PD Patients With Kt/V>=1.8","Percentage Of Pediatric HD Patients With nPCR In Use","Fistula Rate - Better Than Expected (STATE)","Fistula Rate - As Expected (STATE)","Fistula Rate - Worse Than Expected (STATE)","Percentage Of Adult Patients With Long Term Catheter In Use","Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 Mg/dL)","Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 3.5-4.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 4.6-5.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 5.6-7.0 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 Mg/dL","Incident Patients Transplant Waitlisting- Better Than Expected (STATE)","Incident Patients Transplant Waitlisting - As Expected (STATE)","Incident Patients Transplant Waitlisting - Worse Than Expected (STATE)","Prevalent Patients Transplant Waitlisting- Better Than Expected (STATE)","Prevalent Patients Transplant Waitlisting - As Expected (STATE)","Prevalent Patients Transplant Waitlisting - Worse Than Expected (STATE)","Healthcare worker COVID-19 vaccination adherence percentage (STATE)","Percentage Of Patients With Hgb<10 g/dL (STATE)","Percentage of patients with Hgb>12 g/dL (STATE)","SEDR - Better Than Expected (STATE)","SEDR - As Expected (STATE)","SEDR - Worse Than Expected (STATE)","ED30 - Better Than Expected (STATE)","ED30 - As Expected (STATE)","ED30 - Worse Than Expected (STATE)","N FOR SMSR CATEGORY 1: SMSR-Better than expected (State)","N FOR SMSR CATEGORY 2: SMSR-As Expected (State)","N FOR SMSR CATEGORY 3: SMSR-Worse than expected (State)"
AK,0,8,0,0,8,0,0,7,0,0,8,0,0,8,0,98,95,,,,2,6,0,13,0,9,25,28,22,17,0,5,0,1,6,1,11,16,0,0,4,4,0,7,1,2,6,0
AL,0,166,3,5,160,6,3,164,4,0,79,6,60,95,1,98,94,99,78,99,4,146,18,12,1,7,20,26,26,20,4,61,6,3,163,8,2,22,0,0,151,7,3,152,3,5,145,2
AR,1,62,3,1,61,4,4,57,2,0,39,7,33,27,0,97,89,62,100,63,4,57,5,24,1,7,21,27,25,21,1,37,5,0,63,3,1,21,2,1,59,3,0,57,5,10,51,2
AS,0,2,0,2,0,0,0,1,0,0,2,0,0,1,0,,,,,,1,0,1,,,,,,,,0,0,1,0,1,1,,,,0,2,0,0,2,0,0,1,1
AZ,0,118,3,1,117,3,3,113,3,0,91,3,59,58,0,98,93,86,84,99,7,111,1,17,2,7,22,27,26,19,1,95,9,0,113,9,2,20,1,3,107,7,0,114,5,7,97,13
CA,6,683,9,16,694,5,10,670,19,2,576,28,405,187,4,97,89,64,72,74,57,588,11,17,2,7,23,28,25,17,31,474,46,160,564,2,4,17,1,5,642,39,12,651,21,15,489,105
CO,1,78,0,2,78,0,2,71,2,0,47,3,34,40,0,98,91,90,66,95,7,73,0,15,1,7,23,28,25,17,8,41,0,1,80,2,7,17,2,0,69,6,1,71,2,11,60,2
CT,2,45,0,1,46,1,1,43,3,0,39,1,26,18,0,98,95,88,90,93,7,40,0,16,1,8,23,30,24,15,5,22,0,5,43,0,3,18,1,0,43,3,0,44,3,3,42,0
DC,0,17,0,0,17,0,1,14,2,0,15,0,7,7,0,98,93,92,98,97,1,16,0,13,2,9,22,27,25,16,1,10,1,1,15,0,3,24,1,0,16,0,0,16,0,0,10,5
DE,0,28,1,0,29,0,2,27,0,0,25,0,11,15,0,98,95,83,20,83,0,30,0,17,1,7,22,28,26,16,0,10,0,1,30,0,5,24,0,0,27,1,0,29,0,3,26,0
FL,1,474,15,0,410,85,6,458,24,0,271,49,234,198,0,97,93,97,60,95,2,466,25,21,2,7,23,29,24,17,10,272,17,7,499,9,3,22,0,2,456,8,38,434,1,42,386,13
GA,0,326,20,1,327,21,6,316,15,0,199,22,167,123,1,97,91,85,43,85,0,318,14,16,2,8,23,27,25,17,7,195,7,4,335,13,4,22,0,0,310,17,4,322,8,22,281,5
