"STATE","Lower box percent of patients-nephrologists' communication and caring","Middle box percent of patients-nephrologists' communication and caring","Top box percent of patients-nephrologists' communication and caring","Linearized score of nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients- providing information to patients","Linearized score of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","Survey response rate"
AK,15,12,73,84,13,18,69,84,15,85,85,10,28,62,86,4,28,68,90,7,16,77,91,203,25
AL,20,14,66,80,20,18,62,79,20,80,80,15,25,60,84,14,24,62,85,14,19,67,86,3383,24
AR,19,14,67,81,20,18,62,79,20,80,80,13,28,59,85,13,27,60,85,13,22,65,86,1601,24
AS,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,22,16,62,77,20,20,60,78,22,78,78,18,27,55,81,14,24,62,85,14,21,65,85,3428,22
CA,19,14,67,80,16,18,66,82,21,79,79,14,26,60,84,9,22,69,88,9,19,72,89,25558,24
CO,16,16,68,82,15,19,66,82,19,81,81,13,26,61,85,11,20,69,88,10,17,73,89,1432,22
CT,20,15,65,80,19,19,62,79,21,79,79,15,27,58,84,12,24,64,86,12,20,68,87,1351,22
DC,22,12,66,79,26,20,54,74,28,72,72,18,27,55,82,17,34,49,80,17,30,53,82,472,21
DE,17,14,69,82,16,19,65,81,20,80,80,11,32,57,85,10,25,65,87,11,22,67,88,629,24
FL,19,13,68,81,17,17,66,81,21,79,79,14,24,62,85,11,22,67,87,10,19,71,88,10623,24
GA,19,14,67,80,20,19,61,78,23,77,77,14,27,59,84,13,28,59,84,14,22,64,85,6776,22
GU,43,17,40,61,22,19,59,77,31,69,69,37,36,27,68,10,29,61,86,13,22,65,86,228,18
HI,19,14,67,81,16,16,68,83,21,79,79,14,24,62,85,9,20,71,89,10,14,76,90,1882,30
IA,16,18,66,82,15,21,64,81,18,82,82,12,26,62,85,9,20,71,88,9,16,75,90,1051,29
ID,13,14,73,85,11,19,70,85,18,82,82,10,21,69,88,5,20,75,91,5,17,78,92,509,28
IL,19,15,66,80,16,18,66,81,22,78,78,14,27,59,84,10,25,65,87,11,18,71,88,6674,25
IN,18,17,65,80,16,20,64,81,19,81,81,14,27,59,84,11,23,66,87,11,19,70,88,3456,26
KS,16,17,67,82,15,20,65,82,18,82,82,11,26,63,86,9,22,69,88,9,18,73,89,1159,27
KY,18,14,68,81,15,18,67,82,18,82,82,13,26,61,85,10,22,68,88,10,18,72,89,1965,24
LA,18,12,70,82,18,17,65,80,21,79,79,14,23,63,85,12,24,64,86,12,19,69,87,3581,24
MA,17,14,69,82,16,18,66,82,21,79,79,13,25,62,86,9,23,68,88,10,18,72,89,2388,25
MD,19,15,66,80,19,21,60,79,24,76,76,15,29,56,83,13,29,58,84,14,24,62,85,3570,23
ME,13,15,72,85,13,16,71,85,16,84,84,9,26,65,87,6,15,79,92,5,15,80,92,477,29
MI,17,16,67,82,16,19,65,81,21,79,79,13,28,59,84,10,24,66,87,10,20,70,88,5394,26
MN,14,16,70,84,15,19,66,82,18,82,82,12,28,60,85,10,22,68,87,10,18,72,88,1778,25
MO,17,15,68,82,15,20,65,82,20,80,80,13,27,60,85,9,25,66,87,10,20,70,89,2861,25
MP,32,14,54,72,24,16,60,77,26,74,74,29,29,42,75,17,30,53,82,11,22,67,87,103,30
MS,21,13,66,80,21,17,62,79,23,77,77,15,28,57,83,14,28,58,84,14,22,64,86,2676,24
MT,12,13,75,87,10,19,71,86,17,83,83,6,21,73,90,3,21,76,92,5,17,78,92,281,24
NC,21,14,65,79,20,19,61,78,21,79,79,15,28,57,83,13,26,61,85,13,22,65,86,6640,24
ND,16,18,66,82,12,19,69,85,18,82,82,14,23,63,85,8,17,75,91,6,15,79,92,254,22
NE,17,15,68,82,14,19,67,83,18,82,82,13,26,61,84,8,24,68,88,9,18,73,89,601,25
NH,21,18,61,78,15,19,66,82,18,82,82,17,26,57,82,8,23,69,88,11,17,72,88,451,30
NJ,16,14,70,83,15,17,68,83,20,80,80,12,24,64,86,8,21,71,89,8,16,76,90,4825,23
NM,22,15,63,78,20,19,61,79,22,78,78,17,25,58,82,13,22,65,86,12,18,70,88,992,19
NV,21,15,64,78,16,18,66,82,21,79,79,16,30,54,82,9,25,66,87,9,21,70,89,1479,21
NY,19,14,67,81,17,19,64,81,23,77,77,14,28,58,84,10,26,64,87,11,21,68,87,9376,23
OH,18,15,67,81,15,18,67,82,18,82,82,14,25,61,84,10,21,69,88,9,18,73,89,5394,24
OK,15,15,70,83,15,19,66,82,20,80,80,11,24,65,87,10,23,67,88,10,18,72,89,1628,21
OR,16,16,68,82,15,21,64,81,19,81,81,13,25,62,85,9,25,66,87,10,20,70,88,1575,26
PA,17,16,67,82,15,19,66,82,19,81,81,13,28,59,84,9,24,67,88,10,19,71,88,6368,25
PR,15,15,70,84,15,19,66,83,13,87,87,12,21,67,87,9,18,73,89,11,13,76,90,3052,31
RI,13,15,72,85,12,16,72,86,16,84,84,9,21,70,88,6,19,75,90,8,14,78,90,418,25
SC,20,14,66,80,18,19,63,80,21,79,79,15,27,58,84,12,27,61,85,12,23,65,87,3567,24
SD,16,14,70,83,12,20,68,84,20,80,80,11,27,62,86,6,22,72,90,7,15,78,91,273,19
TN,21,15,64,79,16,18,66,82,19,81,81,16,25,59,83,10,23,67,88,10,20,70,88,3561,24
TX,18,14,68,81,17,18,65,81,21,79,79,13,26,61,85,11,23,66,87,11,19,70,88,18302,23
UT,23,16,61,77,14,17,69,83,17,83,83,19,28,53,81,9,18,73,89,9,15,76,90,739,25
VA,20,16,64,79,19,19,62,79,21,79,79,16,29,55,82,13,27,60,85,12,22,66,86,4582,25
VI,,,,,,,,,,,,,,,,,,,,,,,,,
VT,17,16,67,82,9,13,78,89,16,84,84,13,34,53,83,5,15,80,92,4,11,85,94,137,28
WA,14,14,72,84,15,19,66,82,19,81,81,11,24,65,87,9,24,67,88,9,18,73,89,2590,23
WI,18,16,66,81,15,20,65,82,18,82,82,14,28,58,84,10,24,66,87,11,18,71,88,2653,27
WV,19,15,66,80,13,18,69,84,18,82,82,15,24,61,85,7,18,75,90,7,16,77,91,787,27
WY,16,15,69,82,9,18,73,87,21,79,79,8,29,63,87,4,20,76,91,4,14,82,93,115,25
