"Provider Number","Network","Facility Name","Address Line 1","Address Line 2","City","STATE","Zip","County","Phone Number","Profit or Non-Profit?","Chain Owned?","Chain Organization","Late Shift?","# of Dialysis Stations","Offers In-Center Hemodialysis","Offers In-Cener Peritoneal Dialysis","Offers Home Hemodialysis Training","Certification Date","Claims Date","Mineral and Bone Disorder Date","STrR Date","Percentage of Medicare patients with Hgb<10 g/dL","Hgb <10 Data Availability Code","Percentage of Medicare patients with Hgb>12 g/dL","Hgb >12 Data Availability Code","Number of dialysis patients with Hgb data","Lists the facility’s Standardized Transfusion Ratio (FACILITY)","Lists the upper confident limit (97.5%) for Standardized Transfusion Ratio (STRr)","Lists the lower confident limit (2.5%) for Standardized Transfusion Ratio (STRr)","Patient Transfusion data availability Code","Patient transfusion category text","Lists the number of patients included in the facility’s transfusion summary (FACILITY)","Percentage of HD patients with URR>=65%","URR Data Availability Code","Percent of Adult HD patients with Kt/V >= 1.2","Adult HD Kt/V Data Availability Code","Percentage of Adult PD PTS with Kt/V >= 1.7","Adult PD Kt/V Data Availability Code","Percentage of Pediatric HD patients with Kt/V >= 1.2","Pediatric HD Kt/V Data Availability Code","Lists the number of heomodialysis patients included in the URR greater than or equal 65 percent summary (FACILITY)","Number of Adult HD patients with Kt/V data","Number of Adult HD patient-months with Kt/V data","Number of Adult PD patients with Kt/V data","Number of Adult PD patient-months with Kt/V data","Number of Pediatric HD patients with Kt/V data","Number of Pediatric HD patient-months with Kt/V data","Percentage of patients with arteriovenous fistulae in place","Arteriovenous fistulae in place Data Availability Code","Percentage of patients with vascular catheter in use for 90 days or longer","Vascular catheter Data Availability Code","Number of Adult patients included in arterial venous fistula and catheter summaries","Number of Adult patient-months included in arterial venous fistula and catheter summaries","Hypercalcemia Data Availability Code","Lists the number of patients included in the facility’s hypercalcemia summary (FACILITY)","Lists the number of patient-months included in the facility’s hypercalcemia summary (FACILITY)","Lists the percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL) (FACILITY)","Lists the number of patients included in the facility’s serum phosphorus summary (FACILITY)","Lists the number of patient-months included in the facility’s serum phosphorus summary (FACILITY)","Serum phosphorus Data Availability Code","Lists the percentage of Adult patients with serum phosphorus less than 3.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL (FACILITY)","SMR Date","SHR Date","SHR: Upper Confidence Limit (95%)","SMR: Upper Confidence Limit (95%)","SHR: Lower Confidence Limit (5%)","SMR: Lower Confidence Limit (5%)","Patient hospitalization category text","Patient hospitalization Data Availability Code","Patient survival category text","Patient survival Data Availability Code","Number of patients included in hospitalization summary","Number of patients included in survival summary","Standardized Hospitalization Ratio","Standardized Mortality Ratio"
"012500","08","FMC CAPITOL CITY","255 S JACKSON STREET","","MONTGOMERY","AL","36104","MONTGOMERY","(334) 263-1028","Profit","Yes","FRESENIUS MEDICAL CARE","0","34","1","1","1","1976-09-01 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","17","001","0","001","78","1.01","1.97","0.56","001","As Expected","103","99","001","91","001","79","001","","254","67","92","792","18","126","0","0","50","001","10","001","96","828","001","128","1164","0","134","1176","001","10","29","26","22","13","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.24","1.36","0.43","0.88","As Expected","001","As Expected","001","121","637","0.71","1.1"
"012501","08","GADSDEN DIALYSIS","409 SOUTH FIRST STREET","","GADSDEN","AL","35901","ETOWAH","(256) 547-2457","Profit","Yes","GAMBRO HEALTHCARE","0","24","1","0","0","1976-09-01 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","0","001","0","001","52","1.54","2.6","0.96","001","As Expected","102","100","001","94","001","","257","","254","57","76","621","0","0","0","0","70","001","6","001","79","655","001","83","800","0","85","809","001","11","27","52","6","5","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.99","1.37","0.87","0.93","As Expected","001","As Expected","001","112","554","1.29","1.14"
"012502","08","TUSCALOOSA UNIVERSITY DIALYSIS","220 15TH STREET","","TUSCALOOSA","AL","35401","TUSCALOOSA","(205) 345-6004","Profit","Yes","GAMBRO HEALTHCARE","0","24","1","1","0","1977-10-21 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","8","001","0","001","77","0.64","1.58","0.28","001","As Expected","98","99","001","92","001","","199","","199","81","116","929","8","57","1","12","45","001","5","001","126","989","001","107","1028","0","111","1059","001","12","27","44","9","7","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.94","2.11","0.79","1.37","As Expected","001","Worse than Expected","001","110","536","1.21","1.71"
"012505","08","PCD MONTGOMERY","1001 FOREST AVENUE","","MONTGOMERY","AL","36106","MONTGOMERY","(334) 269-9416","Profit","Yes","DAVITA","0","18","1","1","1","1977-12-14 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","12","001","0","001","92","0.99","1.83","0.57","001","As Expected","122","100","001","95","001","96","001","","254","78","109","870","32","251","0","0","54","001","5","001","113","918","001","156","1379","0","153","1388","001","13","36","39","6","7","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.49","1.53","0.63","1.02","As Expected","001","Worse than Expected","001","135","657","0.95","1.26"
"012506","08","DOTHAN DIALYSIS","216 GRACELAND DR.","","DOTHAN","AL","36305","HOUSTON","(334) 793-4077","Profit","Yes","GAMBRO HEALTHCARE","0","27","1","1","1","1977-11-28 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","11","001","0","001","74","0.82","1.64","0.44","001","As Expected","105","96","001","89","001","91","001","","254","55","101","663","37","321","0","0","57","001","4","001","116","739","001","126","1110","0","124","1098","001","8","31","40","11","9","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.27","1.15","0.46","0.73","As Expected","001","As Expected","001","118","643","0.74","0.93"
"012507","08","FMC MOBILE","2620 OLD SHELL RD","","MOBILE","AL","36607","MOBILE","(251) 476-2762","Profit","Yes","FRESENIUS MEDICAL CARE","0","24","1","0","0","1979-01-04 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","7","001","0","001","68","0.82","1.88","0.38","001","As Expected","88","100","001","81","001","","257","","254","70","134","825","0","0","0","0","48","001","7","001","137","863","001","119","1067","2","122","1087","001","15","26","23","23","12","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.62","1.29","0.66","0.76","As Expected","001","As Expected","001","99","539","1.01","1"
"012508","08","BIRMINGHAM EAST DIALYSIS","1105 EAST PARK DRIVE","","BIRMINGHAM","AL","35235","JEFFERSON","(205) 833-6003","Profit","Yes","GAMBRO HEALTHCARE","0","20","1","0","0","1979-06-28 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","26","001","0","001","50","0.63","1.66","0.26","001","As Expected","84","98","001","92","001","","257","","254","51","74","580","0","0","0","0","43","001","10","001","82","622","001","97","820","1","101","843","001","10","29","47","7","7","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.6","1.76","0.61","1.08","As Expected","001","Worse than Expected","001","93","500","0.97","1.39"
"012509","08","FMC NORTH ALABAMA","1311 N MEMORIAL PKWY #200","","HUNTSVILLE","AL","35801","MADISON","(256) 536-8571","Profit","Yes","FRESENIUS MEDICAL CARE","0","22","1","1","0","1979-07-16 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","7","001","0","001","70","1.41","2.49","0.85","001","As Expected","119","89","001","73","001","88","001","","254","54","105","622","39","260","0","0","60","001","5","001","121","777","001","143","1037","7","140","1057","001","10","26","30","24","10","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.75","1.33","0.71","0.84","As Expected","001","As Expected","001","130","586","1.09","1.06"
"012512","08","FMC SELMA","905 MEDICAL CENTER PARKWAY","","SELMA","AL","36701","DALLAS","(334) 874-9021","Profit","Yes","FRESENIUS MEDICAL CARE","0","26","1","0","0","1980-08-25 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","10","001","0","001","49","1.05","2.32","0.51","001","As Expected","52","98","001","89","001","","199","","254","51","69","542","5","23","0","0","43","001","12","001","73","569","001","75","647","12","81","687","001","18","26","24","20","12","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.68","1.24","0.6","0.63","As Expected","001","As Expected","001","60","278","0.98","0.9"
"012513","08","FMC LANGDALE","8 MEDICAL PARK","","VALLEY","AL","36854","CHAMBERS","(334) 756-4192","Profit","Yes","FRESENIUS MEDICAL CARE","0","19","1","0","0","1981-02-12 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","5","001","0","001","41","1.15","2.42","0.59","001","As Expected","66","100","001","87","001","","257","","254","52","65","603","0","0","0","0","89","001","3","001","68","629","001","63","603","15","63","621","001","8","24","28","29","12","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.19","1.23","0.32","0.61","As Expected","001","As Expected","001","66","280","0.6","0.88"
"012515","08","FMC OPELIKA","2609 VILLAGE PROFESSIONAL DR","STE 2","OPELIKA","AL","36801","LEE","(334) 749-5085","Profit","Yes","FRESENIUS MEDICAL CARE","0","25","1","1","0","1982-09-07 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","4","001","0","001","79","1.36","2.36","0.83","001","As Expected","94","100","001","92","001","96","001","","254","66","94","795","24","229","0","0","83","001","2","001","98","841","001","129","1083","15","133","1145","001","7","24","28","27","14","01/01/2009-12/31/2012","01/01/2012-12/31/2012","0.79","1.07","0.17","0.6","Better than Expected","001","As Expected","001","98","535","0.35","0.81"
"012516","08","DSI SOUTH DIALYSIS","3201 3RD AVE SOUTH","","BIRMINGHAM","AL","35222","JEFFERSON","(205) 502-5300","Profit","Yes","NATIONAL RENAL INSTITUTES","0","20","1","1","1","1982-12-02 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","28","001","0","001","32","1.14","3.02","0.47","001","As Expected","48","100","001","99","001","","199","","254","29","38","351","4","27","0","0","38","001","7","001","39","374","001","66","596","5","70","642","001","11","31","25","19","14","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.94","1.65","0.59","0.8","As Expected","001","As Expected","001","52","260","1.05","1.17"
"012517","08","DVA HEALTHCARE RENAL CARE INC","15953 ATHENS LIMESTONE DRIVE","","ATHENS","AL","35613","LIMESTONE","(256) 233-4730","Profit","Yes","GAMBRO HEALTHCARE","0","12","1","0","1","1983-01-21 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","14","001","0","001","56","0.87","2.16","0.38","001","As Expected","82","96","001","92","001","","257","","254","54","80","613","0","0","0","0","70","001","4","001","87","724","001","87","769","1","87","780","001","11","28","38","14","10","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.32","1.2","0.43","0.71","As Expected","001","As Expected","001","97","420","0.74","0.93"
"012519","08","FMC SCOTTSBORO","20998 JOHN T. REID HWY","","SCOTTSBORO","AL","35768","JACKSON","(256) 259-4777","Profit","Yes","FRESENIUS MEDICAL CARE","0","21","1","0","0","1984-11-05 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","14","001","0","001","42","1.12","2.64","0.52","001","As Expected","55","100","001","91","001","","257","","254","50","61","554","0","0","0","0","86","001","7","001","65","585","001","67","548","4","72","582","001","5","20","27","30","17","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.56","1.31","0.48","0.64","As Expected","001","As Expected","001","66","232","0.85","0.93"
"012520","08","FMC TROY","606 BOTTS AVE","","TROY","AL","36081","PIKE","(334) 566-7266","Profit","Yes","FRESENIUS MEDICAL CARE","0","15","1","0","0","1984-11-19 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","5","001","0","001","61","1.03","2.11","0.54","001","As Expected","73","94","001","92","001","","257","","254","64","77","715","0","0","0","0","51","001","7","001","81","763","001","94","888","1","95","930","001","12","25","27","22","16","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.09","1.11","0.33","0.6","As Expected","001","As Expected","001","76","356","0.59","0.82"
"012521","08","DCI DOTHAN","1630 COLUMBIA HWY","","DOTHAN","AL","36303","HOUSTON","(334) 793-3519","Non-Profit","No","DIALYSIS CLINIC, INC.","0","33","1","1","0","1985-03-11 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","10","001","0","001","89","0.9","1.74","0.5","001","As Expected","108","100","001","95","001","84","001","","254","73","96","872","22","192","0","0","55","001","6","001","102","936","001","134","1229","2","140","1293","001","5","25","33","26","12","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.35","1.32","0.5","0.79","As Expected","001","As Expected","001","118","547","0.8","1.03"
"012522","08","FMC HUNTSVILLE","2325 PANSY STREET","SUITE C","HUNTSVILLE","AL","35801","MADISON","(256) 536-1881","Profit","Yes","FRESENIUS MEDICAL CARE","0","32","1","0","0","1985-08-20 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","13","001","0","001","55","0.71","1.97","0.29","001","As Expected","80","97","001","84","001","","257","","254","65","124","756","0","0","0","0","63","001","9","001","137","847","001","108","864","1","118","935","001","11","26","25","21","18","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.74","1.4","0.67","0.81","As Expected","001","As Expected","001","93","428","1.06","1.07"
"012523","08","PHENIX CITY DIALYSIS","1900 OPELIKA ROAD","","PHENIX CITY","AL","36867","RUSSELL","(334) 298-1941","Profit","Yes","DAVITA","0","20","1","1","0","1985-09-23 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","11","001","0","001","62","1.37","2.52","0.8","001","As Expected","86","100","001","95","001","94","001","","254","56","82","657","20","169","0","0","58","001","4","001","85","681","001","92","905","1","94","936","001","12","28","41","10","10","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.69","1.71","0.61","1.01","As Expected","001","Worse than Expected","001","95","391","0.99","1.33"
"012524","08","FMC EAST MOBILE","1217 GOVERNMENT ST","","MOBILE","AL","36604","MOBILE","(251) 438-6917","Profit","Yes","FRESENIUS MEDICAL CARE","1","29","1","1","1","1985-12-01 00:00:00","10/01/2012-09/30/2013","10/01/2012-09/30/2013","01/01/2012-12/31/2012","13","001","0","001","94","1.07","1.83","0.66","001","As Expected","179","99","001","88","001","92","001","","254","73","112","816","48","423","0","0","61","001","4","001","123","887","001","203","1687","1","217","1754","001","10","27","28","23","11","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.57","1.41","0.75","0.93","As Expected","001","As Expected","001","199","890","1.06","1.15"
