STATE,Lower box percent of patients-nephrologists' communication and caring,Middle box percent of patients-nephrologists' communication and caring,Top box percent of patients-nephrologists' communication and caring,Linearized score of nephrologists' communication and caring,Lower box percent of patients-quality of dialysis center care and operations ,Middle box percent of patients- quality of dialysis center care and operations,Top box percent of patients- quality of dialysis center care and operations,Linearized score of quality of dialysis center care and operations,Lower box percent of patients- providing information to patients,Top box percent of patients- providing information to patients,Linearized score of providing information to patients,Lower box percent of patients- rating of the nephrologist,Middle box percent of patients- rating of the nephrologist,Top box percent of patients- rating of the nephrologist,Linearized score of rating of the nephrologist,Lower box percent of patients-rating of the dialysis center staff,Middle box percent of patients-rating of the dialysis center staff ,Top box percent of patients-rating of the dialysis center staff,Linearized score of rating of the dialysis center staff,Lower box percent of patients-rating of the dialysis facility,Middle box percent of patients-rating of the dialysis facility,Top box percent of patients-rating of the dialysis facility,Linearized score of rating of the dialysis facility,Total number of completed interviews from the Fall and Spring Surveys,ICH-CAHPS survey response rate
AK,13,12,75,86,19,17,64,80,20,80,80,10,22,68,88,10,22,68,87,11,15,74,89,205,31
AL,18,14,68,81,19,18,63,79,20,80,80,13,26,61,85,11,25,64,86,11,20,69,87,3632,29
AR,18,15,67,81,20,18,62,79,19,81,81,13,28,59,85,13,25,62,85,13,20,67,86,1772,30
AS,,,,,,,,,,,,,,,,,,,,,,,,,0
AZ,22,16,62,77,19,21,60,78,21,79,79,19,25,56,82,13,23,64,85,13,19,68,87,3405,26
CA,17,14,69,82,16,18,66,82,20,80,80,12,26,62,85,9,22,69,88,9,17,74,89,24913,27
CO,16,13,71,84,17,19,64,81,19,81,81,14,22,64,85,11,21,68,87,11,17,72,89,1661,29
CT,18,15,67,81,18,18,64,80,19,81,81,13,27,60,85,10,24,66,87,12,18,70,88,1480,29
DC,20,13,67,80,22,19,59,77,23,77,77,14,29,57,83,15,32,53,83,15,27,58,83,497,23
DE,20,16,64,79,22,19,59,77,23,77,77,17,31,52,81,16,26,58,83,15,21,64,85,615,30
FL,18,14,68,81,17,18,65,81,19,81,81,13,25,62,85,10,23,67,87,11,19,70,88,10441,27
GA,19,13,68,81,20,19,61,78,22,78,78,14,26,60,85,13,28,59,84,13,23,64,86,7282,27
GU,40,16,44,63,27,17,56,74,30,70,70,40,32,28,67,19,28,53,81,18,24,58,83,389,29
HI,17,13,70,82,16,19,65,82,20,80,80,12,25,63,86,9,22,69,88,8,17,75,90,1905,34
IA,16,18,66,82,15,21,64,82,16,84,84,13,27,60,85,10,21,69,88,10,17,73,89,1018,35
ID,16,14,70,83,13,20,67,83,18,82,82,11,23,66,86,6,23,71,89,8,15,77,90,445,30
IL,18,15,67,81,17,18,65,81,21,79,79,13,27,60,85,10,25,65,87,10,19,71,88,6888,29
IN,18,16,66,81,16,19,65,81,18,82,82,14,24,62,84,10,23,67,87,10,19,71,88,3602,31
KS,15,14,71,84,15,19,66,82,17,83,83,12,23,65,87,10,20,70,88,9,16,75,90,1195,32
KY,16,15,69,83,16,19,65,82,18,82,82,13,23,64,86,10,23,67,87,10,18,72,89,2129,30
LA,17,12,71,83,19,17,64,80,21,79,79,14,23,63,85,13,24,63,85,13,19,68,87,3474,28
MA,16,14,70,83,16,19,65,81,21,79,79,12,24,64,86,9,23,68,88,9,19,72,89,2434,30
MD,18,15,67,81,19,20,61,79,22,78,78,14,28,58,84,12,27,61,85,13,22,65,86,3880,28
ME,16,17,67,82,15,17,68,82,17,83,83,12,28,60,84,7,19,74,89,9,14,77,90,486,35
MI,17,15,68,82,16,20,64,81,20,80,80,13,26,61,85,10,24,66,87,10,20,70,88,5524,31
MN,14,15,71,84,13,20,67,83,16,84,84,12,26,62,86,7,22,71,89,7,17,76,90,1764,30
MO,17,16,67,82,17,20,63,80,19,81,81,14,24,62,85,12,24,64,86,12,18,70,87,2928,30
MP,21,11,68,81,28,11,61,77,21,79,79,18,28,54,82,16,25,59,83,9,16,75,90,111,32
MS,21,13,66,79,23,16,61,77,23,77,77,17,26,57,83,15,25,60,84,15,20,65,86,2388,27
MT,14,16,70,84,14,17,69,84,17,83,83,13,19,68,86,6,19,75,90,6,17,77,91,316,32
NC,20,15,65,80,21,19,60,78,21,79,79,15,28,57,83,13,28,59,85,13,22,65,86,6764,29
ND,18,16,66,80,15,17,68,83,15,85,85,14,27,59,84,7,17,76,91,6,13,81,92,285,29
NE,19,17,64,79,16,20,64,81,18,82,82,16,26,58,83,10,25,65,86,11,18,71,88,639,33
NH,21,17,62,78,16,21,63,81,19,81,81,15,29,56,83,9,22,69,88,10,20,70,88,460,35
NJ,17,14,69,82,15,19,66,82,19,81,81,13,25,62,85,9,23,68,88,9,18,73,89,5099,28
NM,24,15,61,76,22,18,60,77,22,78,78,21,26,53,80,15,21,64,85,12,19,69,87,1271,28
NV,24,17,59,76,16,19,65,81,20,80,80,21,29,50,79,10,23,67,87,11,19,70,88,1654,25
NY,19,15,66,80,18,19,63,80,23,77,77,14,28,58,84,11,25,64,86,11,22,67,87,10490,28
OH,16,15,69,82,15,19,66,82,18,82,82,13,26,61,85,9,23,68,88,9,19,72,89,5879,29
OK,16,15,69,83,15,20,65,82,18,82,82,12,23,65,86,9,22,69,88,9,17,74,89,1721,25
OR,16,16,68,82,15,20,65,82,18,82,82,12,25,63,86,9,22,69,88,8,18,74,90,1746,31
PA,17,16,67,82,16,19,65,81,19,81,81,14,27,59,84,9,24,67,88,10,19,71,88,6770,31
PR,16,15,69,83,17,19,64,81,15,85,85,14,21,65,86,11,19,70,87,12,16,72,88,2314,28
RI,15,14,71,84,12,17,71,85,17,83,83,11,23,66,87,5,19,76,91,4,15,81,92,418,29
SC,19,15,66,80,20,19,61,78,21,79,79,14,27,59,84,13,27,60,85,13,21,66,86,3633,28
SD,13,13,74,86,12,18,70,85,18,82,82,7,23,70,89,5,19,76,91,5,15,80,93,277,22
TN,20,15,65,79,17,18,65,81,19,81,81,16,26,58,83,10,25,65,87,10,19,71,88,3821,28
TX,17,14,69,82,18,18,64,81,20,80,80,13,24,63,86,11,24,65,87,11,18,71,88,17509,26
UT,19,16,65,80,12,19,69,85,18,82,82,16,29,55,83,6,20,74,90,5,15,80,92,685,27
VA,19,16,65,80,17,20,63,80,19,81,81,15,28,57,83,11,27,62,86,11,20,69,88,4861,30
VI,36,15,49,66,22,18,60,78,37,63,63,27,36,37,72,13,31,56,84,14,30,56,82,119,38
VT,16,12,72,83,13,16,71,84,17,83,83,13,21,66,86,5,20,75,91,7,10,83,93,129,32
