"State","Survival- Better Than Expected (STATE)","Survival- As Expected (STATE)","Survival- Worse Than Expected (STATE)","Hospitalizations- Better Than Expected (STATE)","Hospitalizations- As Expected (STATE)","Hospitalizations- Worse Than Expected (STATE)","Hospital Readmission - Better Than Expected (STATE)","Hospital Readmission - As Expected (STATE)","Hospital  Readmission - Worse Than Expected (STATE)","Transfusions- Better than expected (STATE)","Transfusions- As expected (STATE)","Transfusions- Worse than expected (STATE)","Infection- Better than expected (STATE)","Infection- As expected (STATE)","Infection- Worse than expected (STATE)","Percentage of adult HD patients with Kt/V>=1.2","Percentage Of Adult PD Patients With Kt/V>=1.7","Percentage Of Pediatric HD Patients With Kt/V>=1.2","Percentage Of Pediatric PD Patients With Kt/V>=1.8","Percentage Of Pediatric HD Patients With nPCR In Use","Fistula Rate - Better Than Expected (STATE)","Fistula Rate - As Expected (STATE)","Fistula Rate - Worse Than Expected (STATE)","Percentage Of Adult Patients With Long Term Catheter In Use","Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 Mg/dL)","Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 3.5-4.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 4.6-5.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 5.6-7.0 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 Mg/dL","Incident Patients Transplant Waitlisting- Better Than Expected (STATE)","Incident Patients Transplant Waitlisting - As Expected (STATE)","Incident Patients Transplant Waitlisting - Worse Than Expected (STATE)","Prevalent Patients Transplant Waitlisting- Better Than Expected (STATE)","Prevalent Patients Transplant Waitlisting - As Expected (STATE)","Prevalent Patients Transplant Waitlisting - Worse Than Expected (STATE)","Healthcare worker COVID-19 vaccination adherence percentage (STATE)","Percentage Of Patients With Hgb<10 g/dL (STATE)","Percentage of patients with Hgb>12 g/dL (STATE)","SEDR - Better Than Expected (STATE)","SEDR - As Expected (STATE)","SEDR - Worse Than Expected (STATE)","ED30 - Better Than Expected (STATE)","ED30 - As Expected (STATE)","ED30 - Worse Than Expected (STATE)","N FOR SMSR CATEGORY 1: SMSR-Better than expected (State)","N FOR SMSR CATEGORY 2: SMSR-As Expected (State)","N FOR SMSR CATEGORY 3: SMSR-Worse than expected (State)"
AK,0,8,0,0,8,0,0,7,0,0,8,0,0,8,0,98,95,,,,3,5,0,13,1,8,25,27,22,18,0,5,0,1,6,1,57,15,0,0,4,4,0,7,1,2,6,0
AL,0,168,3,5,162,6,3,166,4,0,79,6,60,96,1,98,94,99,80,99,4,146,17,12,1,7,21,27,26,20,4,61,6,5,163,6,77,24,0,0,153,7,3,153,3,5,147,2
AR,1,62,3,1,61,4,4,57,2,0,39,7,33,27,0,97,89,82,92,74,3,56,5,23,1,7,21,26,24,21,1,37,5,0,57,7,77,23,1,1,59,3,0,57,5,10,51,2
AS,0,2,0,2,0,0,0,1,0,0,2,0,0,1,0,,,,,,1,0,1,,,,,,,,0,0,1,0,1,1,,,,0,2,0,0,2,0,0,1,1
AZ,0,120,3,1,119,3,3,115,3,0,91,3,59,60,0,98,93,90,86,100,7,113,1,17,2,8,22,27,25,18,1,96,9,0,115,9,77,18,0,3,109,7,0,116,5,7,99,13
CA,6,689,9,16,700,5,10,675,19,2,580,28,408,189,4,97,88,77,68,89,55,590,15,17,2,8,23,29,24,17,31,475,47,174,553,1,88,17,1,5,648,39,12,657,21,15,493,106
CO,1,78,0,2,78,0,2,71,2,0,47,3,34,40,0,98,91,81,75,91,11,68,0,16,1,8,24,28,24,16,8,41,0,4,75,2,83,19,1,0,69,6,1,71,2,11,60,2
CT,2,45,0,1,46,1,1,43,3,0,39,1,26,18,0,98,94,95,96,100,7,39,0,16,1,8,24,30,24,14,5,22,0,5,41,0,85,19,0,0,43,3,0,44,3,3,42,0
DC,0,18,0,0,18,0,1,15,2,0,16,0,8,7,0,97,92,88,90,93,0,17,0,13,3,9,23,28,24,16,1,10,1,1,16,1,79,24,1,0,17,0,0,17,0,0,11,5
DE,0,28,1,0,29,0,2,27,0,0,25,0,11,15,0,98,94,22,35,58,0,30,1,17,1,8,23,28,25,16,0,10,0,1,30,1,85,22,0,0,27,1,0,29,0,3,26,0
FL,1,478,15,0,412,87,6,462,24,0,272,49,234,200,0,96,93,96,59,94,5,455,24,21,2,7,24,29,23,16,10,273,17,8,487,11,76,23,0,2,460,8,38,438,1,42,390,13
GA,0,326,20,1,327,21,6,316,15,0,199,22,167,123,1,96,92,93,50,87,0,315,13,16,2,8,23,27,25,17,7,195,7,4,337,8,74,23,0,0,310,17,4,322,8,22,281,5
