PROVNUM	NETWORK	FACNAME	PHYADDR1	PHYADDR2	PHYCITY	PHYSTATE	PHYZIP	PHONENUM	SHIFT	CHAINYN	CHAINNAM	OWNTYPE	CERTDATE	TOTSTAS	HD	PD	HOMEHD	PURR_F	URRG65_F	URRG65_C	URRG65_U	URRG65_S	HGBRD_F	HGBL10_F	HGBL10_C	HGBG12_F	HGBG12_C	HGBL10_U	HGBL10_S	HGBG12_U	HGBG12_S	PTSURV_F	PTSURV_C	PTSURVU1	PTSURVU2	PTSURVU3	PTSURVS1	PTSURVS2	PTSURVS3	CNTYNAME	DATE_CLAIMS	HDKTVPM_F	HDKTV12_C	HDKTVPM12_F	HDKTVPM12_S	HDKTVPM12_U	PDKTVPM_F	PDKTV17_C	PDKTVPM17_F	PDKTVPM17_S	PDKTVPM17_U	PHDKTVPM_F	PHDKTV12_C	PHDKTVPM12_F	PHDKTVPM12_S	PHDKTVPM12_U	VAHDPM_F	VAVF_C	VAVF_F	VAVF_S	VAVF_U	VCG90_C	VCG90_F	VCG90_S	VCG90_U	DATE_SMR	DYZ_F	SMRZ_F	CHIMZ_F	CLOMZ_F	DATE_SHR	HDY_F	PTHOSP_C	SHRTY4_F	CHICHTAY4_F	CLOCHTAY4_F	PTHOSP_F	PTHOSPS1	PTHOSPS2	PTHOSPS3	PTHOSPU1	PTHOSPU2	PTHOSPU3	DATE_CW	HYPERCALPM_F	HYPERCAL_F	HYPERCAL_S	HYPERCAL_U	SERUMPHOSPM_F	SERUMPHOS1_F	SERUMPHOS2_F	SERUMPHOS3_F	SERUMPHOS4_F	SERUMPHOS5_F	SERUMPHOS1_S	SERUMPHOS2_S	SERUMPHOS3_S	SERUMPHOS4_S	SERUMPHOS5_S	SERUMPHOS1_U	SERUMPHOS2_U	SERUMPHOS3_U	SERUMPHOS4_U	SERUMPHOS5_U	HYPERCAL_C	SERUMPHOS_C	RDSMZ_F	RDSHY4_F	VAHDPAT_F	DFCHTAY4_F	PHDKTVPATS_F	PDPATS_F	HDKTVPATS_F	HYPERCALPATS_F	SERUMPHOSPATS_F	DFCMORTTEXT	DFCHOSPTEXT
012500	08	FMC CAPITOL CITY	255 S JACKSON STREET		MONTGOMERY	AL	36104	3342631028	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01SEP1976	34	Y	Y	Y	70	99	001	98	99	81	7	001	0	001	10	10	1	1	2	001	434	4384	544	1	101	17	MONTGOMERY	01JAN2012-31DEC2012	799	001	83	89	89	180	001	76	81	79	0	254		82	77	850	001	48	56	61	001	10	7	12	01Jan2008-31Dec2011		0.98000000	1.23000000	0.77000000	01Jan2011-31Dec2011		001	0.79000000	1.39000000	0.47000000		2	122	0	44	5114	250																								614	114	103	2	0	20	102			As Expected	As Expected
012501	08	GADSDEN DIALYSIS	409 SOUTH FIRST STREET		GADSDEN	AL	35901	2565472457	N	Y	GAMBRO HEALTHCARE	1	01SEP1976	24	Y	N	N	72	100	001	98	99	65	9	001	0	001	10	10	1	1	2	001	434	4384	544	1	101	17	ETOWAH	01JAN2012-31DEC2012	764	001	95	89	89	0	257		81	79	0	254		82	77	815	001	69	56	61	001	8	7	12	01Jan2008-31Dec2011		1.04000000	1.26000000	0.85000000	01Jan2011-31Dec2011		001	1.36000000	2.06000000	0.92000000		2	122	0	44	5114	250																								573	125	101	2	0	0	96			As Expected	As Expected
012502	08	TUSCALOOSA UNIVERSITY DIALYSIS	220 15TH STREET		TUSCALOOSA	AL	35401	2053456004	N	Y	GAMBRO HEALTHCARE	1	21OCT1977	24	Y	Y	N	84	100	001	98	99	82	9	001	0	001	10	10	1	1	3	001	434	4384	544	1	101	17	TUSCALOOSA	01JAN2012-31DEC2012	967	001	94	89	89	49	199		81	79	4	199		82	77	1030	001	48	56	61	001	3	7	12	01Jan2008-31Dec2011		1.66000000	2.03000000	1.34000000	01Jan2011-31Dec2011		001	1.53000000	2.41000000	1.00000000		2	122	0	44	5114	250																								573	111	137	2	1	8	127			Worse than Expected	As Expected
012505	08	PCD MONTGOMERY	1001 FOREST AVENUE		MONTGOMERY	AL	36106	3342699416	N	Y	DAVITA	1	14DEC1977	31	Y	Y	Y	81	100	001	98	99	87	11	001	0	001	10	10	1	1	3	001	434	4384	544	1	101	17	MONTGOMERY	01JAN2012-31DEC2012	892	001	95	89	89	185	001	95	81	79	0	254		82	77	963	001	52	56	61	001	5	7	12	01Jan2008-31Dec2011		1.41000000	1.69000000	1.15000000	01Jan2011-31Dec2011		001	0.97000000	1.57000000	0.62000000		2	122	0	44	5114	250																								644	144	121	2	0	26	116			Worse than Expected	As Expected
012506	08	DOTHAN DIALYSIS	216 GRACELAND DR.		DOTHAN	AL	36305	3347934077	N	Y	GAMBRO HEALTHCARE	1	28NOV1977	27	Y	Y	Y	56	98	001	98	99	75	13	001	1	001	10	10	1	1	2	001	434	4384	544	1	101	17	HOUSTON	01JAN2012-31DEC2012	696	001	87	89	89	292	001	92	81	79	0	254		82	77	785	001	57	56	61	001	3	7	12	01Jan2008-31Dec2011		0.98000000	1.21000000	0.79000000	01Jan2011-31Dec2011		001	0.71000000	1.27000000	0.42000000		2	122	0	44	5114	250																								684	119	108	2	0	35	100			As Expected	As Expected
012507	08	FMC MOBILE	2620 OLD SHELL RD		MOBILE	AL	36607	2514762762	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	04JAN1979	24	Y	N	N	69	100	001	98	99	62	2	001	0	001	10	10	1	1	2	001	434	4384	544	1	101	17	MOBILE	01JAN2012-31DEC2012	769	001	90	89	89	0	257		81	79	0	254		82	77	815	001	47	56	61	001	6	7	12	01Jan2008-31Dec2011		1.08000000	1.39000000	0.83000000	01Jan2011-31Dec2011		001	1.00000000	1.63000000	0.63000000		2	122	0	44	5114	250																								587	92	126	2	0	0	118			As Expected	As Expected
012508	08	BIRMINGHAM EAST DIALYSIS	1105 EAST PARK DRIVE		BIRMINGHAM	AL	35235	2058336003	N	Y	GAMBRO HEALTHCARE	1	28JUN1979	20	Y	N	N	60	100	001	98	99	63	33	001	0	001	10	10	1	1	3	001	434	4384	544	1	101	17	JEFFERSON	01JAN2012-31DEC2012	670	001	93	89	89	0	257		81	79	0	254		82	77	703	001	48	56	61	001	11	7	12	01Jan2008-31Dec2011		1.31000000	1.67000000	1.02000000	01Jan2011-31Dec2011		001	1.19000000	1.87000000	0.77000000		2	122	0	44	5114	250																								518	96	87	2	0	0	84			Worse than Expected	As Expected
012509	08	FMC NORTH ALABAMA	1311 N MEMORIAL PKWY #200		HUNTSVILLE	AL	35801	2565368571	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	16JUL1979	22	Y	Y	N	65	88	001	98	99	81	9	001	1	001	10	10	1	1	2	001	434	4384	544	1	101	17	MADISON	01JAN2012-31DEC2012	690	001	79	89	89	230	001	83	81	79	0	254		82	77	789	001	67	56	61	001	4	7	12	01Jan2008-31Dec2011		0.93000000	1.18000000	0.72000000	01Jan2011-31Dec2011		001	0.95000000	1.63000000	0.58000000		2	122	0	44	5114	250																								561	114	111	2	0	36	99			As Expected	As Expected
012512	08	FMC SELMA	905 MEDICAL CENTER PARKWAY		SELMA	AL	36701	3348749021	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	25AUG1980	26	Y	N	N	47	98	001	98	99	48	0	001	0	001	10	10	1	1	2	001	434	4384	544	1	101	17	DALLAS	01JAN2012-31DEC2012	568	001	92	89	89	11	199		81	79	0	254		82	77	611	001	43	56	61	001	12	7	12	01Jan2008-31Dec2011		1.21000000	1.59000000	0.91000000	01Jan2011-31Dec2011		001	1.11000000	1.88000000	0.67000000		2	122	0	44	5114	250																								287	62	80	2	0	2	77			As Expected	As Expected
012513	08	FMC LANGDALE	8 MEDICAL PARK		VALLEY	AL	36854	3347564192	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	12FEB1981	12	Y	N	N	54	100	001	98	99	47	0	001	2	001	10	10	1	1	2	001	434	4384	544	1	101	17	CHAMBERS	01JAN2012-31DEC2012	626	001	86	89	89	0	257		81	79	0	254		82	77	634	001	87	56	61	001	3	7	12	01Jan2008-31Dec2011		0.77000000	1.09000000	0.52000000	01Jan2011-31Dec2011		001	0.78000000	1.49000000	0.42000000		2	122	0	44	5114	250																								271	62	74	2	0	0	71			As Expected	As Expected
