"State","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility"
"AK","13","10","77","18","20","62","15","85","10","23","67","12","23","65","11","16","73"
"AL","19","14","67","21","19","60","21","79","14","26","60","13","27","60","13","21","66"
"AR","19","15","66","20","19","61","19","81","14","26","60","13","27","60","13","20","67"
"AS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AZ","20","16","64","20","20","60","19","81","17","26","57","13","25","62","12","19","69"
"CA","17","15","68","17","19","64","21","79","13","26","61","10","25","65","10","20","70"
"CO","14","15","71","16","20","64","18","82","10","25","65","10","23","67","9","17","74"
"CT","19","16","65","18","19","63","21","79","15","29","56","11","25","64","11","21","68"
"DC","19","13","68","26","21","53","25","75","15","27","58","19","36","45","22","31","47"
"DE","19","15","66","18","20","62","21","79","16","30","54","11","28","61","11","23","66"
"FL","18","14","68","18","19","63","20","80","13","25","62","11","25","64","12","20","68"
"GA","18","13","69","21","19","60","22","78","12","27","61","13","29","58","13","23","64"
"GU","33","19","48","28","20","52","27","73","26","39","35","19","36","45","17","28","55"
"HI","17","12","71","16","20","64","20","80","13","24","63","10","23","67","10","18","72"
"IA","15","18","67","15","22","63","16","84","12","27","61","11","22","67","10","19","71"
"ID","12","14","74","11","18","71","16","84","10","22","68","6","20","74","6","15","79"
"IL","19","15","66","18","20","62","22","78","15","28","57","12","28","60","12","22","66"
"IN","17","17","66","17","21","62","18","82","14","27","59","12","26","62","12","20","68"
"KS","17","15","68","17","19","64","17","83","14","23","63","11","22","67","12","16","72"
"KY","16","14","70","16","18","66","18","82","13","23","64","9","22","69","10","18","72"
"LA","19","13","68","21","18","61","22","78","15","25","60","14","27","59","14","22","64"
"MA","15","16","69","16","20","64","19","81","11","25","64","9","25","66","10","19","71"
"MD","18","15","67","20","21","59","22","78","14","28","58","13","30","57","13","25","62"
"ME","15","17","68","13","18","69","15","85","11","26","63","7","20","73","7","20","73"
"MI","18","15","67","18","20","62","19","81","14","28","58","12","27","61","11","23","66"
"MN","13","14","73","14","19","67","15","85","11","25","64","9","21","70","9","16","75"
"MO","16","15","69","17","19","64","18","82","12","25","63","11","25","64","11","19","70"
"MP","65","10","25","28","15","57","32","68","55","23","22","14","34","52","9","22","69"
"MS","22","13","65","24","17","59","22","78","17","26","57","17","26","57","17","20","63"
"MT","17","12","71","16","18","66","19","81","11","22","67","11","24","65","11","18","71"
"NC","20","15","65","22","20","58","21","79","15","28","57","15","28","57","14","23","63"
"ND","16","14","70","12","18","70","16","84","14","23","63","7","23","70","5","15","80"
"NE","16","17","67","14","21","65","18","82","13","32","55","9","26","65","8","19","73"
"NH","18","20","62","17","21","62","20","80","15","28","57","10","24","66","11","20","69"
"NJ","17","14","69","17","19","64","20","80","12","26","62","9","26","65","10","20","70"
"NM","27","16","57","24","19","57","24","76","23","28","49","19","24","57","16","21","63"
"NV","26","17","57","18","17","65","21","79","23","28","49","11","22","67","11","17","72"
"NY","19","15","66","19","20","61","24","76","14","29","57","12","28","60","12","24","64"
"OH","17","15","68","16","20","64","18","82","13","25","62","11","23","66","10","20","70"
"OK","14","14","72","15","20","65","18","82","11","23","66","10","23","67","11","18","71"
"OR","15","16","69","15","21","64","17","83","10","26","64","8","24","68","8","18","74"
"PA","17","17","66","16","21","63","19","81","14","28","58","10","25","65","11","21","68"
"PR","18","16","66","17","21","62","15","85","15","23","62","13","22","65","13","19","68"
"RI","13","13","74","10","17","73","17","83","9","22","69","4","19","77","4","12","84"
"SC","20","14","66","21","20","59","22","78","14","27","59","13","29","58","13","23","64"
"SD","13","16","71","15","17","68","18","82","11","23","66","10","15","75","8","17","75"
"TN","23","15","62","20","19","61","19","81","19","27","54","13","26","61","13","22","65"
"TX","18","14","68","20","19","61","21","79","13","26","61","13","26","61","13","20","67"
"UT","17","14","69","13","17","70","20","80","14","24","62","7","18","75","7","13","80"
"VA","20","16","64","20","20","60","20","80","16","28","56","13","29","58","13","23","64"
"VI","27","13","60","25","19","56","25","75","24","29","47","15","33","52","11","39","50"
"VT","14","20","66","11","21","68","19","81","16","24","60","9","18","73","4","14","82"
"WA","12","13","75","14","19","67","16","84","8","22","70","7","24","69","7","17","76"
"WI","17","16","67","16","19","65","17","83","14","25","61","11","23","66","11","19","70"
"WV","17","16","67","16","19","65","17","83","12","26","62","9","25","66","10","19","71"
"WY","15","15","70","19","19","62","18","82","15","21","64","14","19","67","12","17","71"
