"STATE","Lower box percent of patients-nephrologists' communication and caring","Middle box percent of patients-nephrologists' communication and caring","Top box percent of patients-nephrologists' communication and caring","Linearized score of nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients- providing information to patients","Linearized score of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","Survey response rate"
AK,14,13,73,85,11,20,69,85,16,84,84,10,27,63,87,6,28,66,88,6,19,75,91,213,26
AL,20,14,66,80,19,19,62,79,21,79,79,15,26,59,84,13,26,61,85,13,21,66,86,3508,25
AR,19,14,67,81,19,19,62,79,19,81,81,14,28,58,84,13,27,60,85,13,22,65,87,1673,25
AS,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,22,16,62,77,21,20,59,77,22,78,78,19,27,54,81,14,26,60,84,15,22,63,85,3394,22
CA,19,14,67,80,16,19,65,81,21,79,79,14,26,60,84,9,24,67,88,10,18,72,89,25028,24
CO,17,16,67,81,16,20,64,81,19,81,81,15,24,61,84,13,20,67,86,12,16,72,88,1415,22
CT,20,14,66,80,18,19,63,80,21,79,79,15,27,58,83,12,23,65,86,12,19,69,87,1352,23
DC,21,15,64,79,27,20,53,73,28,72,72,16,30,54,82,19,31,50,81,17,32,51,82,517,22
DE,18,14,68,81,19,19,62,80,21,79,79,14,33,53,83,12,28,60,85,12,24,64,87,637,25
FL,19,14,67,81,17,18,65,81,21,79,79,14,25,61,85,11,23,66,87,11,19,70,88,10912,25
GA,20,14,66,80,21,19,60,78,23,77,77,15,27,58,84,14,28,58,84,14,23,63,85,6988,23
GU,44,15,41,60,25,17,58,76,28,72,72,37,37,26,68,12,27,61,85,13,22,65,86,261,23
HI,20,13,67,80,16,18,66,82,22,78,78,15,24,61,84,9,22,69,88,10,16,74,90,1886,30
IA,15,16,69,83,15,19,66,82,17,83,83,12,24,64,87,8,21,71,89,8,17,75,90,1054,30
ID,15,15,70,83,12,19,69,84,19,81,81,11,21,68,87,6,20,74,90,6,15,79,92,506,29
IL,19,15,66,80,17,18,65,81,22,78,78,15,27,58,84,11,24,65,87,11,19,70,88,6724,26
IN,19,16,65,80,16,19,65,82,19,81,81,16,27,57,83,10,24,66,87,10,20,70,88,3528,27
KS,15,16,69,83,15,20,65,82,18,82,82,10,25,65,87,8,24,68,88,10,17,73,89,1143,28
KY,18,14,68,82,15,19,66,82,18,82,82,13,26,61,85,10,22,68,88,10,18,72,89,2003,25
